Κωδικός,Ονομασία,Ποσό 1,Ποσό 2,Ποσό 3
1.,"ΕΣΟΔΑ (σε ευρώ)",679.144.145.000,,
2.,"ΕΞΟΔΑ (σε ευρώ)",679.144.145.000,,
,"57. 1.650.000.000 0ΑΠΟΤΕΛΕΣΜΑ ΚΡΑΤΙΚΟΥ ΠΡΟΫΠΟΛΟΓΙΣΜΟΥ (ΕΣΟΔΑ - ΕΞΟΔΑ) Αγορές αγαθών και υπηρεσιών Επιδοτήσεις Τόκοι Λοιπές δαπάνες Πιστώσεις υπό κατανομή Πάγια περιουσιακά στοιχεία Τιμαλφή Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων Χρεωστικοί τίτλοι (υποχρεώσεις) Δάνεια Χρηματοοικονομικά παράγωγα Μεταβιβάσεις Μεταβιβάσεις Πωλήσεις αγαθών και υπηρεσιών Λοιπά τρέχοντα έσοδα Πάγια περιουσιακά στοιχεία Χρεωστικοί τίτλοι Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων Υποχρεώσεις από νόμισμα και καταθέσεις Χρεωστικοί τίτλοι (υποχρεώσεις) Δάνεια Παροχές σε εργαζομένους Κοινωνικές παροχές Κοινωνικές εισφορές ΣΧΕΔΙΟ ΝΟΜΟΥ «Κύρωση του Κρατικού Προϋπολογισμού οικονομικού έτους 2020» Άρθρο 1 Κυρώνεται ο Κρατικός Προϋπολογισμός οικονομικού έτους 2020. Τα έσοδα και τα έξοδα του Κρατικού Προϋπολογισμού οικονομικού έτους 2020 ορίζονται στους επισυναπτόμενους πίνακες και κατανέμονται ως ακολούθως: Φόροι",,,
,"Προεδρία της Δημοκρατίας",3.691.000,0,3.691.000
,"Βουλή των Ελλήνων",139.550.000,1.000.000,140.550.000
,"Υπουργεία",672.085.808.000,6.749.000.000,678.834.808.000
,"Υπουργείο Εσωτερικών",2.785.671.000,212.000.000,2.997.671.000
,"Υπουργείο Εξωτερικών",267.109.000,11.000.000,278.109.000
,"Υπουργείο Εθνικής Άμυνας",3.383.000.000,14.000.000,3.397.000.000
,"Υπουργείο Υγείας",3.798.660.000,60.000.000,3.858.660.000
,"Υπουργείο Δικαιοσύνης",509.754.000,23.000.000,532.754.000
,"Υπουργείο Παιδείας και Θρησκευμάτων",4.953.000.000,510.000.000,5.463.000.000
,"Υπουργείο Πολιτισμού και Αθλητισμού",300.200.000,35.000.000,335.200.000
,"Υπουργείο Οικονομικών",632.762.383.000,26.000.000,632.788.383.000
,"Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων",269.473.000,802.000.000,1.071.473.000
,"Υπουργείο Περιβάλλοντος και Ενέργειας",90.805.000,570.000.000,660.805.000
,"Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων",19.471.800.000,420.000.000,19.891.800.000
,"Υπουργείο Ανάπτυξης και Επενδύσεων",158.846.000,2.261.000.000,2.419.846.000
,"Υπουργείο Υποδομών και Μεταφορών",533.867.000,1.467.000.000,2.000.867.000
,"Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής",266.800.000,140.000.000,406.800.000
,"Υπουργείο Τουρισμού",36.680.000,33.000.000,69.680.000
,"Υπουργείο Προστασίας του Πολίτη",2.365.481.000,105.000.000,2.470.481.000
,"Υπουργείο Ψηφιακής Διακυβέρνησης",132.279.000,60.000.000,192.279.000
,"Αποκεντρωμένες Διοικήσεις",165.096.000,0,165.096.000
,"Αποκεντρωμένη Διοίκηση Αττικής",19.856.000,0,19.856.000
,"Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας",27.484.000,0,27.484.000
,"Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας",18.937.000,0,18.937.000
,"Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου",35.146.000,0,35.146.000
,"Αποκεντρωμένη Διοίκηση Αιγαίου",10.220.000,0,10.220.000
,"Αποκεντρωμένη Διοίκηση Κρήτης",11.208.000,0,11.208.000
,"Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης",42.245.000,0,42.245.000
11,"Φόροι",47.228.000.000,,
12,"Κοινωνικές εισφορές",55.000.000,,
13,"Μεταβιβάσεις",3.880.000.000,,
14,"Πωλήσεις αγαθών και υπηρεσιών",692.000.000,,
15,"Λοιπά τρέχοντα έσοδα",1.564.000.000,,
31,"Πάγια περιουσιακά στοιχεία",332.000.000,,
43,"Χρεωστικοί τίτλοι",550.000.000,,
45,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων",2.063.000.000,,
52,"Υποχρεώσεις από Νόμισμα και καταθέσεις",19.000.000,,
53,"Χρεωστικοί τίτλοι (Υποχρεώσεις)",22.761.145.000,,
54,"Δάνεια 600.000.000.000 Σύνολο:",679.144.145.000,,
11,"Φόροι",47.228.000.000,,
111,"Φόροι επί αγαθών και υπηρεσιών",26.400.000.000,,
11101,"Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ",10.553.000.000,,
1110102,"ΦΠΑ στις νέες οικοδομές",25.000.000,,
1110102001,"ΦΠΑ στις νέες οικοδομές",25.000.000,,
1110189,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.",10.528.000.000,,
1110189001,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.",10.528.000.000,,
11102,"Φόροι προστιθέμενης αξίας που εισπράττονται από τελωνεία",5.603.000.000,,
1110201,"ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών",2.041.000.000,,
1110201002,"ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών - εισαγόμενα προϊόντα",71.000.000,,
1110202,"ΦΠΑ στα οχήματα",328.000.000,,
1110202001,"ΦΠΑ στα οχήματα",328.000.000,,
1110203,"ΦΠΑ στην αιθυλική αλκοόλη",270.000.000,,
1110203001,"ΦΠΑ στην αιθυλική αλκοόλη",270.000.000,,
1110204,"ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο",23.000.000,,
1110204001,"ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο",23.000.000,,
1110205,"ΦΠΑ καπνικών προϊόντων",658.000.000,,
1110205001,"ΦΠΑ καπνικών προϊόντων - εγχώρια και από Ε.Ε.",651.000.000,,
1110205002,"ΦΠΑ καπνικών προϊόντων - εισαγόμενα από τρίτες χώρες",7.000.000,,
1110289,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων",2.283.000.000,,
1110289001,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων - προϊόντα εγχώρια και από Ε.Ε.",131.000.000,,
1110289002,"ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων - εισαγόμενα προϊόντα",2.152.000.000,,
11103,"Ειδικοί φόροι κατανάλωσης",7.206.000.000,,
1110301,"ΕΦΚ υγραερίων",110.000.000,,
1110301001,"ΕΦΚ υγραερίων - προϊόντα εγχώρια και από Ε.Ε.",108.000.000,,
1110301002,"ΕΦΚ υγραερίων - εισαγόμενα προϊόντα",2.000.000,,
1110302,"ΕΦΚ βενζινών",2.163.000.000,,
1110302001,"ΕΦΚ βενζινών - προϊόντα εγχώρια και από Ε.Ε.",2.163.000.000,,
1110303,"ΕΦΚ diesel κίνησης",1.541.000.000,,
1110303001,"ΕΦΚ diesel κίνησης - προϊόντα εγχώρια και από Ε.Ε.",1.325.000.000,,
1110303002,"ΕΦΚ diesel κίνησης - εισαγόμενα προϊόντα",216.000.000,,
1110304,"ΕΦΚ diesel θέρμανσης",296.000.000,,
1110304001,"ΕΦΚ diesel θέρμανσης - προϊόντα εγχώρια και από Ε.Ε.",225.000.000,,
1110304002,"ΕΦΚ diesel θέρμανσης - εισαγόμενα προϊόντα",71.000.000,,
1110305,"ΕΦΚ στην ηλεκτρική ενέργεια",172.000.000,,
1110305001,"ΕΦΚ στην ηλεκτρική ενέργεια",172.000.000,,
1110306,"ΕΦΚ στο φυσικό αέριο",35.000.000,,
1110306001,"ΕΦΚ στο φυσικό αέριο",35.000.000,,
1110309,"ΕΦΚ λοιπών ενεργειακών προϊόντων",41.000.000,,
1110309001,"ΕΦΚ λοιπών ενεργειακών προϊόντων - εγχώρια και από Ε.Ε.",22.000.000,,
1110309002,"ΕΦΚ λοιπών ενεργειακών προϊόντων - εισαγόμενα από τρίτες χώρες",19.000.000,,
1110310,"ΕΦΚ στα προϊόντα καπνού",2.183.000.000,,
1110310001,"ΕΦΚ στα προϊόντα καπνού - εγχώρια και από Ε.Ε.",2.168.000.000,,
1110310002,"ΕΦΚ στα προϊόντα καπνού - εισαγόμενα από τρίτες χώρες",15.000.000,,
1110311,"ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων",299.000.000,,
1110311001,"ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων - προϊόντα εγχώρια και από Ε.Ε.",298.000.000,,
1110311002,"ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων - εισαγόμενα προϊόντα",1.000.000,,
1110312,"ΕΦΚ στη μπύρα",200.000.000,,
1110312001,"ΕΦΚ στη μπύρα - προϊόντα εγχώρια και από Ε.Ε.",200.000.000,,
1110314,"Φόρος κατανάλωσης στον καφέ",148.000.000,,
1110314001,"Φόρος κατανάλωσης στον καφέ - προϊόντα εγχώρια και από Ε.Ε.",88.000.000,,
1110314002,"Φόρος κατανάλωσης στον καφέ - εισαγόμενα προϊόντα",60.000.000,,
1110315,"Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο",4.000.000,,
1110315001,"Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο - προϊόντα εγχώρια και από Ε.Ε.",4.000.000,,
1110317,"Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία",9.000.000,,
1110317001,"Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία",9.000.000,,
1110318,"Ειδικός φόρος πολυτελείας εμπορευμάτων",5.000.000,,
1110318001,"Ειδικός φόρος πολυτελείας εμπορευμάτων - χωρών της Ε.Ε. και εγχωρίως παραγόμενων ειδών",3.000.000,,
1110318002,"Ειδικός φόρος πολυτελείας εμπορευμάτων -εισαγομένων από τρίτες χώρες",2.000.000,,
11104,"Φόροι με μορφή χαρτοσήμου",322.000.000,,
1110401,"Τέλη χαρτοσήμου σε μισθώματα από ακίνητα",138.000.000,,
1110401001,"Τέλη χαρτοσήμου σε μισθώματα από ακίνητα",138.000.000,,
1110402,"Τέλη χαρτοσήμου σε ασφαλιστικές επιχειρήσεις",1.000.000,,
1110402001,"Τέλη χαρτοσήμου σε ασφαλιστικές επιχειρήσεις",1.000.000,,
1110403,"Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου",53.000.000,,
1110403001,"Πρόσθετο ποσοστό 20% στα τέλη χαρτοσήμου",53.000.000,,
1110489,"Λοιπά τέλη χαρτοσήμου",130.000.000,,
1110489001,"Λοιπά τέλη χαρτοσήμου",130.000.000,,
11105,"Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών",468.000.000,,
1110501,"Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων",64.000.000,,
1110501001,"Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων",64.000.000,,
1110502,"Φόρος στη μεταβίβαση οικοδομών",281.000.000,,
1110502001,"Φόρος στη μεταβίβαση οικοδομών",281.000.000,,
1110503,"Φόρος στη συγκέντρωση κεφαλαίων",27.000.000,,
1110503001,"Φόρος στη συγκέντρωση κεφαλαίων",27.000.000,,
1110504,"Δικαιώματα-Τέλη άμισθων υποθηκοφυλακείων",8.000.000,,
1110504001,"Δικαιώματα-Τέλη άμισθων υποθηκοφυλακείων",8.000.000,,
1110505,"Δικαιώματα-Τέλη έμμισθων υποθηκοφυλακείων",8.000.000,,
1110505001,"Δικαιώματα-Τέλη έμμισθων υποθηκοφυλακείων",8.000.000,,
1110507,"Φόρος επί των χρηματιστηριακών συναλλαγών",41.000.000,,
1110507001,"Φόρος επί των χρηματιστηριακών συναλλαγών",41.000.000,,
1110589,"Λοιποί Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών",39.000.000,,
1110589001,"Λοιποί Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών",39.000.000,,
11106,"Φόροι ταξινόμησης οχημάτων",288.000.000,,
1110601,"Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα",249.000.000,,
1110601001,"Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα - εγχώρια και από Ε.Ε.",221.000.000,,
1110601002,"Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα - εισαγόμενα από τρίτες χώρες",28.000.000,,
1110602,"Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα",31.000.000,,
1110602001,"Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εγχώρια και από Ε.Ε.",23.000.000,,
1110602002,"Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα - εισαγόμενα από τρίτες χώρες",8.000.000,,
1110609,"Τέλος ταξινόμησης λοιπών οχημάτων",8.000.000,,
1110609001,"Τέλος ταξινόμησης λοιπών οχημάτων - εγχώρια και από Ε.Ε.",6.000.000,,
1110609002,"Τέλος ταξινόμησης λοιπών οχημάτων - εισαγόμενα από τρίτες χώρες",2.000.000,,
11108,"Λοιποί φόροι επί συγκεκριμένων υπηρεσιών",1.887.000.000,,
1110801,"Φόροι στα κρατικά λαχεία",4.000.000,,
1110801001,"Φόροι στα κρατικά λαχεία",4.000.000,,
1110802,"Φόροι στα μικτά κέρδη των καζίνο",54.000.000,,
1110802001,"Φόροι στα μικτά κέρδη των καζίνο Κέρκυρας και Πάρνηθας",17.000.000,,
1110802002,"Φόροι στα μικτά κέρδη των λοιπών καζίνο",37.000.000,,
1110803,"Φόροι στα μικτά κέρδη τυχερών παιγνίων",801.000.000,,
