Κωδικός,Κατηγορία,Ποσό
1110101,Φόροι προστιθέμενης αξίας που εισπράττονται μέσω Δ.Ο.Υ.,16571000000
1110103,ΦΠΑ από ηλεκτρονικό εμπόριο,310000000
1110189,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω Δ.Ο.Υ.,16261000000
1110201,ΦΠΑ στα πετρελαιοειδή και στα παράγωγα αυτών,2124000000
1110202,ΦΠΑ στα οχήματα,586000000
1110203,ΦΠΑ στην αιθυλική αλκοόλη,341000000
1110204,ΦΠΑ στην ηλεκτρική ενέργεια και το φυσικό αέριο,12000000
1110205,ΦΠΑ καπνικών προϊόντων,599000000
1110206,ΦΠΑ εισαγωγής από ηλεκτρονικό εμπόριο,123000000
1110289,ΦΠΑ λοιπών περιπτώσεων που εισπράττεται μέσω τελωνείων,4375000000
1110301,ΕΦΚ υγραερίων,95000000
1110302,ΕΦΚ βενζινών,2095000000
1110303,ΕΦΚ diesel κίνησης,1515000000
1110304,ΕΦΚ diesel θέρμανσης,299000000
1110305,ΕΦΚ στην ηλεκτρική ενέργεια,163000000
1110306,ΕΦΚ στο φυσικό αέριο,38000000
1110309,ΕΦΚ λοιπών ενεργειακών προϊόντων,31000000
1110310,ΕΦΚ στα προϊόντα καπνού,2371000000
1110311,ΕΦΚ αιθυλικής αλκοόλης και αλκοολούχων προϊόντων,359000000
1110312,ΕΦΚ στη μπύρα,202000000
1110313,ΕΦΚ στο κρασί,1000000
1110314,Φόρος κατανάλωσης στον καφέ,151000000
1110315,Φόρος κατανάλωσης στο ηλεκτρονικό τσιγάρο,12000000
1110317,Εφάπαξ εισφορά στα φορτηγά Ι.Χ. που μπαίνουν σε κυκλοφορία,13000000
1110318,Ειδικός φόρος πολυτελείας εμπορευμάτων,11000000
1110404,Ψηφιακό τέλος συναλλαγής,398000000
1110501,Φόρος στη μεταβίβαση οικοπέδων και αγροκτημάτων,114000000
1110502,Φόρος στη μεταβίβαση οικοδομών,539000000
1110503,Φόρος στη συγκέντρωση κεφαλαίων,20000000
1110507,Φόρος επί των χρηματιστηριακών συναλλαγών,30000000
1110589,Λοιποί Φόροι επί χρηματοοικονομικών και κεφαλαιακών συναλλαγών,6000000
1110601,Τέλος ταξινόμησης στα επιβατικά αυτοκίνητα,394000000
1110602,Τέλος ταξινόμησης στα φορτηγά αυτοκίνητα,53000000
1110609,Τέλος ταξινόμησης λοιπών οχημάτων,19000000
1110801,Φόροι στα κρατικά λαχεία,4000000
1110802,Φόροι στα μικτά κέρδη των καζίνο,54000000
1110803,Φόροι στα μικτά κέρδη τυχερών παιγνίων,695000000
1110815,Τέλος Πλοίων Αναψυχής και Ημερόπλοιων και Επαγγελματικών Πλοίων Αναψυχής σύμφωνα με το Δίκαιο Άλλης Χώρας,13000000
1110820,Φόρος ασφαλίστρων,658000000
1110821,Ειδικός φόρος στις διαφημίσεις που προβάλλονται από την τηλεόραση,16000000
1110822,Τέλη συνδρομητών σταθερής τηλεφωνίας,61000000
1110823,Τέλη συνδρομητών κινητής τηλεφωνίας,200000000
1110825,Τέλος ανθεκτικότητας στην κλιματική κρίση (πρώην Φόρος στη Διαμονή),597000000
1110827,Τέλος κρουαζιέρας,51000000
1110889,Λοιποί ειδικοί φόροι σε υπηρεσίες,2000000
1110901,Εισφορά στο λάδι και στις ελιές για κάλυψη εξόδων δακοκτονίας,5000000
1110902,Ειδικοί Φόροι στη διακίνηση καυσίμων,66000000
1110903,Περιβαλλοντικά τέλη και εισφορές,30000000
1110904,Πράσινο τέλος στο diesel κίνησης,110000000
1120101,Δασμοί κοινού δασμολογίου,400000000
1120102,Δασμοί αντιντάμπιγκ και αντισταθμιστικοί δασμοί,32000000
1130101,Φόρος στην ακίνητη περιουσία (ΦΑΠ),5000000
1130103,Έκτακτο Ειδικό Τέλος Ηλεκτροδοτούμενων Δομημένων Επιφανειών (ΕΕΤΗΔΕ),6000000
1130104,Ενιαίος Φόρος Ιδιοκτησίας Ακινήτων (ΕΝΦΙΑ),2269000000
1140101,Τέλος επιτηδεύματος,240000000
1140102,Άδειες παροχής υπηρεσιών τυχερών παιγνίων,5000000
1140103,Ειδικά τέλη διενέργειας τεχνικού ελέγχου οχημάτων,23000000
1140104,Έσοδα από εκδόσεις πολεοδομικών αδειών,6000000
1140105,Ειδικό τέλος για άδειες λειτουργίας καζίνο,3000000
1140106,Τέλη χορήγησης αδειών από τις λιμενικές αρχές,2000000
1140108,Τέλη μηχανημάτων έργων,13000000
1140189,Λοιπές Επιχειρηματικές και επαγγελματικές άδειες,33000000
1140902,Έσοδα Ελληνικού Οργανισμού Φαρμάκων (Ε.Ο.Φ.),17000000
1140903,Τέλη υπέρ ΕΟΦ ετοιμότητας των ιατροτεχνολογικών προϊόντων,5000000
1140904,Τέλη Διεύθυνσης Μητρώων και Τεχνικών Επαγγελμάτων του Υ.ΠΕ.ΧΩ.Δ.Ε.,1000000
1140907,Κράτηση στις δαπάνες έργων των Ο.Τ.Α. για την Τ.Υ.Δ.Κ.,1000000
1140910,Άδειες ραδιοφωνικών και τηλεοπτικών Σταθμών,21000000
1140911,Συμμετοχή του Δημοσίου στα κέρδη της Τράπεζας της Ελλάδος,200000000
1140989,Λοιπoί φόροι επί της παραγωγής,4000000
1150101,Φόρος στο εισόδημα ΦΠ - εκκαθάριση δηλώσεων,3906000000
1150102,Φόρος στο εισόδημα ΦΠ - προκαταβολή,645000000
1150103,Φόρος στο εισόδημα από μισθούς - παρακράτηση,6431000000
1150104,Φόρος στο εισόδημα από συντάξεις - παρακράτηση,2224000000
